O*NET-SOC Code,Title,Description,TopSkills,SkillImportance,SoftwareTools,HotTechFlags
17-2061.00,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Active Learning|Mathematics|Monitoring|Science|Learning Strategies,4.0|4.0|3.88|3.88|3.88|3.75|3.25|3.12|2.88|2.88,Mentor Graphics Calibre|Mentor Graphics LeonardoSpectrum|Electronic design automation EDA software|Boundary scan description language BSDL|Tool command language Tcl|Data acquisition systems|The MathWorks Signal Processing Toolbox|Cadence OrCAD software|Microarchitecture simulation software|The MathWorks MATLAB|Cadence PSpice|Monte Carlo simulation software|Place-and-route software|Magellan Firmware|Computer diagnostic software,Y|N|N|Y|N|N|N|N|N|Y|Y|N|N|N|N
17-2071.00,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",Writing|Reading Comprehension|Critical Thinking|Active Listening|Speaking|Active Learning|Monitoring|Mathematics|Science|Learning Strategies,4.12|4.0|4.0|3.88|3.88|3.88|3.5|3.38|3.0|3.0,Autodesk AutoCAD Civil 3D|Circuit simulation software|Electronic design automation EDA software|Power analysis software|Tektronix EZ-TEST|Chip design software|Finite element method FEM software|The MathWorks MATLAB|Systems analysis programs for hands on integrated reliability evaluation software SAPHIRE|Dassault Systemes SolidWorks|Fault tree analysis FTA software|Programmable logic controller PLC software|Failure mode effects and criticality analysis FMECA software|Zuken E3.schematic|Dynamic object-oriented requirements system DOORS,N|N|N|Y|N|N|Y|Y|Y|N|N|N|Y|Y|Y
17-2072.00,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",Reading Comprehension|Critical Thinking|Speaking|Active Listening|Writing|Mathematics|Monitoring|Active Learning|Science|Learning Strategies,4.0|4.0|3.88|3.75|3.5|3.5|3.38|3.12|3.0|3.0,Xilinx Integrated Software Environment ISE|Oracle Database|IBM Lotus Notes|Very high speed integrated circuit VHSIC hardware description language VHDL simulation software|Two-dimensional 2D computer aided design CAD software|MathWorks Simulink|Structured query language SQL|Microsoft Word|Verilog|Microsoft Visual Basic.NET|Canu|SystemVerilog|Embarcadero Delphi|Dassault Systemes CATIA|Hewlett-Packard HP OpenVMS,N|N|Y|Y|Y|Y|N|N|N|Y|N|Y|Y|N|N
17-2072.01,Radio Frequency Identification Device Specialists,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,Critical Thinking|Active Listening|Speaking|Reading Comprehension|Writing|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,3.88|3.75|3.75|3.62|3.25|3.12|3.12|2.62|2.62|2.0,Microsoft Visual Basic|Abbott|Structured query language SQL|Wide area network WAN software|FitNesse|Verilog|Microsoft Visual Basic.NET|Dynamic host configuration protocol DHCP|Selenium|JUnit|Ruby|Web browser software|C#|Device driver software|The MathWorks MATLAB,N|N|Y|Y|Y|N|N|Y|N|N|Y|Y|N|N|N
17-2081.00,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Monitoring|Active Learning|Mathematics|Science|Learning Strategies,4.0|4.0|4.0|4.0|4.0|4.0|3.75|3.38|3.38|3.0,Site remediation management software|Gas dispersion model software|Photogrammetric software|Regulatory compliance management software|Autodesk AutoCAD Civil 3D|Environmental health and safety documentation software|Geographic information system GIS systems|LINDO Systems optimization modeling software|Microsoft Word|Simulation software|XP Software XPSWMM|Finite element method FEM software|Air dispersion modeling software|Greenhouse gas management software|Autodesk AutoCAD,N|N|Y|Y|Y|N|Y|N|N|N|N|N|N|Y|N
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",Reading Comprehension|Active Listening|Writing|Critical Thinking|Speaking|Monitoring|Active Learning|Learning Strategies|Mathematics|Science,4.0|3.75|3.75|3.75|3.62|3.38|3.25|3.25|2.88|2.5,Hazardous waste operations and emergency response standard HAZWOPER training software|Energy expenditure prediction EEP software|Functional hazard analysis software|Microsoft Visual Basic|Electronic design automation EDA software|Inspection management system|Reliability analysis software|Virtual interaction simulator software|Hazard communication software|Incident tracking software|Microsoft Word|Maintainability prediction software|Reliability centered maintenance RCM software|Fire safety inspection and testing software|Hazard assessment software,N|Y|N|N|N|Y|N|N|Y|N|N|N|N|N|N
17-2111.02,Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",Critical Thinking|Reading Comprehension|Speaking|Active Listening|Writing|Active Learning|Science|Mathematics|Learning Strategies|Monitoring,4.25|4.0|4.0|3.88|3.88|3.88|3.62|3.12|3.12|3.12,Evacuation modeling software|Interconsult Brann G-JET|Elevator evacuation ELVAC software|Mechanical electrical plumbing MEP design software|Egress EVACS|Microsoft Word|Fire Protection Engineering Tools FPETool software|Berkeley Algorithm for Breaking Window Glass in a Compartment Fire BREAK1|Finite element method FEM software|Egress Allsafe|Simulation of fires in enclosures SOFIE software|Autodesk AutoCAD|Computational fluid dynamics CFD software|FIRECALC fire zone modeling software|Mean time to failure MTTF software,N|N|N|N|Y|Y|N|Y|N|N|N|N|N|N|N
17-2112.00,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",Reading Comprehension|Active Listening|Critical Thinking|Speaking|Writing|Monitoring|Mathematics|Active Learning|Learning Strategies|Science,4.0|4.0|4.0|3.88|3.75|3.38|3.25|3.25|2.75|2.12,Allen Bradley PanelView|Production flow analysis software|JUnit|Finite element method FEM software|The MathWorks MATLAB|Stratasys FDM MedModeler|Neural network modeling software|Warehouse management system WMS|Dassault Systemes SolidWorks|ProModel|MAGMA MAGMASOFT|Production scheduling and planning software|Microsoft Office software|Maplesoft Maple|National Instruments LabVIEW,N|N|N|N|Y|N|Y|Y|N|N|N|Y|N|N|N
17-2112.01,Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Mathematics|Monitoring|Science|Learning Strategies,4.0|4.0|4.0|4.0|4.0|3.75|3.5|3.5|3.25|3.25,Thought Technology BioGraph Infiniti|Noldus Information Technology FaceReader|Seeing Machines faceLAB|Adobe Acrobat|Microsoft Visual Basic|Mozilla Firefox|MathWorks Simulink|R|Debugging software|Cascading style sheets CSS|Microsoft Word|Simulation software|User interface design software|Adobe Photoshop|JavaScript Object Notation JSON,Y|Y|N|Y|Y|Y|N|Y|N|Y|Y|Y|N|Y|Y
17-2112.02,Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",Reading Comprehension|Writing|Speaking|Critical Thinking|Active Listening|Monitoring|Science|Active Learning|Mathematics|Learning Strategies,4.12|4.0|4.0|4.0|3.88|3.88|3.75|3.25|3.12|3.0,Apache Ant|Ansible software|Amazon Elastic Compute Cloud EC2|Apache Cassandra|Node.js|MongoDB|NoSQL|JUnit|Ruby|GE Intelligent Platforms Proficy HMI/SCADA iFIX|The MathWorks MATLAB|Prometheus|Amazon DynamoDB|Apache Tomcat|Dassault Systemes SolidWorks,Y|Y|Y|Y|Y|N|Y|N|N|Y|Y|N|N|Y|Y
17-2112.03,Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",Reading Comprehension|Mathematics|Active Listening|Speaking|Monitoring|Writing|Critical Thinking|Active Learning|Learning Strategies|Science,4.0|4.0|3.88|3.88|3.88|3.75|3.75|3.62|3.25|3.12,Microsoft Visual Basic|CNC Mastercam|Microsoft Word|Dassault Systemes CATIA|Web browser software|Minitab|Autodesk AutoCAD|Eko|The MathWorks MATLAB|SAP software|Siemens NX|Supervisory control and data acquisition SCADA software|Product lifecycle management PLM software|Dassault Systemes SolidWorks|Programmable logic controller PLC software,Y|Y|N|N|N|Y|N|N|N|N|Y|Y|N|N|Y
17-2121.00,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",Critical Thinking|Reading Comprehension|Active Listening|Writing|Speaking|Mathematics|Science|Active Learning|Monitoring|Learning Strategies,4.12|3.88|3.75|3.75|3.75|3.62|3.5|3.5|3.38|2.88,Adobe Acrobat|Autodesk Algor Simulation|HydroComp NavCad|MAYA Nastran|Bentley STAAD|Microsoft Word|Zoom|PTC Pro/Pipe|Autodesk AutoCAD|The MathWorks MATLAB|ANSYS AQWA|McNeel Rhinoceros 3D|SAP software|Siemens NX|Structural Dynamics StruCAD*3D,Y|N|N|N|N|N|Y|N|N|Y|N|N|N|N|N
17-2131.00,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",Reading Comprehension|Active Listening|Writing|Speaking|Mathematics|Science|Critical Thinking|Active Learning|Monitoring|Learning Strategies,4.0|4.0|4.0|4.0|4.0|4.0|4.0|3.75|3.25|3.0,Fault detection isolation and recovery FDIR software|Oracle Database|ANSYS Multiphysics|Microsoft Visual Basic|Finite element analysis software|Microsoft Word|Microsoft Visual Basic.NET|Dassault Systemes CATIA|Stereolithography SLA rapid prototyping systems|Web browser software|Minitab|Graphics software|Autodesk AutoCAD|The MathWorks MATLAB|Formula translation/translator FORTRAN,N|Y|Y|N|Y|N|N|N|N|N|N|N|N|Y|Y
17-2141.00,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",Reading Comprehension|Active Listening|Critical Thinking|Mathematics|Science|Active Learning|Writing|Speaking|Monitoring|Learning Strategies,3.88|3.88|3.88|3.75|3.75|3.5|3.38|3.38|3.25|2.88,Autodesk AutoCAD Civil 3D|Ladder Logic|Statistical energy analysis SEA software|Modal analysis software|Finite element method FEM software|InnovMetric PolyWorks|Hewlett-Packard HP Graphics Language HPGL|The MathWorks MATLAB|Adobe Illustrator|Zemax|Dassault Systemes SolidWorks|Metrix Imageware Surfacer|Teradata Database|Sigmetrix CETOL 6 Sigma|Adobe ActionScript,N|N|N|Y|N|Y|Y|Y|Y|N|N|N|Y|Y|Y
17-2141.01,Fuel Cell Engineers,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",Reading Comprehension|Critical Thinking|Writing|Speaking|Science|Active Listening|Active Learning|Monitoring|Mathematics|Learning Strategies,4.0|4.0|3.75|3.75|3.75|3.62|3.62|3.62|3.5|3.12,GE Energy GateCycle|Oracle Database|Gaussian software|MathWorks Simulink|Wind River Systems C/C++ Compiler Suite|Microsoft Word|FactSage|Ansoft Simplorer|Minitab|Autodesk AutoCAD|The MathWorks MATLAB|Gaussian GaussView|IBM Cloud|Failure mode and effects analysis FMEA software|Wolfram Research Mathematica,N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|Y
17-2141.02,Automotive Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",Critical Thinking|Reading Comprehension|Writing|Speaking|Mathematics|Active Listening|Active Learning|Science|Monitoring|Learning Strategies,4.12|4.0|3.88|3.88|3.88|3.75|3.38|3.25|3.12|2.88,Autodesk SketchBook Pro|Portalgraphics openCanvas|Autodesk Inventor|Node.js|Data acquisition systems|JUnit|Statistical analysis software|The MathWorks MATLAB|Salesforce software|Ashlar-Vellum Graphite|Dassault Systemes Simulia Abaqus FEA|Dassault Systemes SolidWorks|CADRE Analytic|Atlassian Confluence|Magellan Firmware,N|Y|N|N|N|N|N|N|N|Y|Y|N|Y|N|N
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",Reading Comprehension|Writing|Speaking|Critical Thinking|Active Listening|Mathematics|Monitoring|Science|Active Learning|Learning Strategies,4.0|4.0|4.0|4.0|3.88|3.75|3.75|3.5|3.5|3.12,Oracle Database|Oracle JD Edwards EnterpriseOne|Structure query language SQL|Autodesk AutoCAD Civil 3D|Site mapping software|Geographic information system GIS systems|Mincom MineScape|MineSight|RungePincockMinarco XERAS|Microsoft Word|GEO-SLOPE GeoStudio|Gemcom Surpac|Promine|Maptek Vulcan|Gemcom PCBC,Y|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N
17-2161.00,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",Science|Critical Thinking|Reading Comprehension|Active Listening|Writing|Mathematics|Monitoring|Active Learning|Speaking|Learning Strategies,4.12|4.12|4.0|4.0|4.0|4.0|4.0|3.88|3.75|3.0,MCNP dose assessment computer code|QAD shielding computer code|ANISN dose assessment computer code|Microsoft Word|Discrete ordinates DORT dose assessment computer codes|Scientech Safety Monitor|Reactor excursion and release analysis program RELAP|Graphics software|Mathsoft Mathcad|The MathWorks MATLAB|Formula translation/translator FORTRAN|Salesforce software|FOLLOW code|Probabilistic risk assessment PRA software|TOTE code,N|N|N|Y|N|N|N|N|N|Y|N|N|N|N|N
17-2171.00,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Active Learning|Monitoring|Science|Mathematics|Learning Strategies,4.0|4.0|3.88|3.88|3.88|3.75|3.75|3.38|3.25|3.0,Oracle Database|Structure query language SQL|Schlumberger Petrel E&P|Microsoft Word|Landmark Graphics TOW/cs|Schlumberger ECLIPSE|Dassault Systemes CATIA|Web browser software|C#|Autodesk AutoCAD|The MathWorks MATLAB|TRC Consultants PHDWin|Microsoft Visual Studio|SAP software|IHS QUE$TOR,Y|Y|Y|N|N|N|Y|N|N|N|Y|N|N|N|N
17-2199.00,"Engineers, All Other",All engineers not listed separately.,,,,
17-2199.03,"Energy Engineers, Except Wind and Solar","Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.",Reading Comprehension|Active Listening|Writing|Critical Thinking|Active Learning|Speaking|Mathematics|Science|Monitoring|Learning Strategies,4.12|4.0|4.0|4.0|4.0|3.88|3.88|3.88|3.88|2.88,AIRMaster+|EffTec EffTrack|Autodesk Ecotect|InterEnergy Software Building Energy Analyzer PRO|Trane System Analyzer|DesignBuilder Software DesignBuilder|Microsoft Word|EnergyPlus|Performance Systems Development TREAT|Quick Plant Energy Profiler|Architectural Energy Corporation ENFORMA Building Diagnostics|Facility Energy Decision Systems FEDS|Home Energy Efficient Design HEED|Trane TRACE|Federal Renewable Energy Screening Assistant FRESA,N|N|N|N|Y|N|Y|N|N|N|N|N|N|N|N
17-2199.05,Mechatronics Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.",Reading Comprehension|Writing|Critical Thinking|Active Listening|Speaking|Mathematics|Monitoring|Science|Active Learning|Learning Strategies,3.75|3.75|3.75|3.62|3.5|3.38|3.38|3.12|3.12|3.12,Autodesk AutoCAD Mechanical|Embedded systems development software|Microsoft Visual Basic|MathWorks Simulink|Structured query language SQL|dSPACE|Microsoft Word|IBM Rational|Simulation software|Vector CANoe|Dassault Systemes CATIA|Finite element method FEM software|AVEVA InTouch HMI|Disk file systems|C#,N|N|Y|N|N|Y|Y|Y|N|N|N|Y|N|N|N
17-2199.06,Microsystems Engineers,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.",Reading Comprehension|Active Listening|Critical Thinking|Writing|Speaking|Science|Monitoring|Active Learning|Mathematics|Learning Strategies,4.0|4.0|4.0|3.75|3.62|3.62|3.62|3.5|3.38|3.25,Mentor Graphics LeonardoSpectrum|Circuit simulation software|Siemens PLM software|Finite element method FEM software|IRSIM|CAzM|The MathWorks MATLAB|Cadence PSpice|Tanner EDA L-Edit|Dassault Systemes SolidWorks|FLorida Object Oriented Design Simulator FLOODS|Transas Group PISCES2|Finite element analysis FEA software|Schematic capture software|Microsoft Office software,Y|N|N|N|N|Y|Y|Y|N|Y|Y|Y|N|N|N
17-2199.07,Photonics Engineers,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",Critical Thinking|Reading Comprehension|Writing|Active Listening|Speaking|Mathematics|Active Learning|Science|Learning Strategies|Monitoring,4.0|3.88|3.88|3.75|3.62|3.62|3.62|3.5|3.0|3.0,Structure query language SQL|Photon Design PICWave|Shell script|Microsoft Visual Basic|R|Facebook|Debugging software|ESRI software|Microsoft Word|Spectroscopy software|Dassault Systemes CATIA|C#|Autodesk AutoCAD|Mathsoft Mathcad|The MathWorks MATLAB,N|N|Y|N|Y|Y|Y|N|N|Y|N|Y|N|Y|N
17-2199.08,Robotics Engineers,"Research, design, develop, or test robotic applications.",Critical Thinking|Reading Comprehension|Active Listening|Monitoring|Writing|Mathematics|Active Learning|Learning Strategies|Speaking|Science,4.0|3.88|3.88|3.88|3.75|3.75|3.75|3.38|3.25|3.12,Oracle Database|Microsoft Visual Basic|MathWorks Simulink|Ladder Logic|Structured query language SQL|Siemens SIMATIC WinCC|Human machine interface HMI software|Gazebo|Microsoft Word|Dassault Systemes CATIA|Atlassian JIRA|Amazon Web Services AWS software|Variable frequency drive VFD software|Laboratory information management system LIMS|AVEVA InTouch HMI,Y|Y|Y|N|Y|Y|Y|Y|N|N|N|N|N|N|N
17-2199.09,Nanosystems Engineers,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",Reading Comprehension|Speaking|Science|Critical Thinking|Active Listening|Writing|Mathematics|Active Learning|Monitoring|Learning Strategies,4.0|4.0|4.0|4.0|3.88|3.88|3.88|3.88|3.5|3.0,ESA MOSAICS|Oracle Database|DL_POLY|MAYA Nastran|Structured query language SQL|Tableau|IMSI Design DesignCAD|Microsoft Word|Simulation software|LinkCAD|Dassault Systemes Abaqus|Dassault Systemes CATIA|Oracle Manufacturing Scheduling|Autodesk AutoCAD|Rapid prototyping software,N|Y|N|Y|N|N|N|N|N|N|N|Y|N|N|N
17-2199.10,Wind Energy Engineers,Design underground or overhead wind farm collector systems and prepare and develop site specifications.,Critical Thinking|Reading Comprehension|Mathematics|Active Listening|Writing|Speaking|Science|Monitoring|Active Learning|Learning Strategies,4.0|3.75|3.5|3.38|3.38|3.38|3.25|3.12|3.0|2.75,ESRI ArcInfo|PowerWorld Corporation PowerWorld Simulator|Apache Ant|Google Earth Pro|ESRI ArcGIS Spatial Analyst|Microsoft Visual Basic|Tableau|Structured query language SQL|Microsoft Word|Global Mapper Software Global Mapper|Microsoft Visual Basic.NET|GE Energy Positive Sequence Load Flow Software PSLF|Amazon Web Services AWS software|EMD International WindPRO|JUnit,Y|N|N|Y|Y|Y|Y|Y|N|Y|N|N|Y|N|N
17-2199.11,Solar Energy Systems Engineers,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.",Reading Comprehension|Critical Thinking|Writing|Speaking|Active Listening|Mathematics|Science|Active Learning|Monitoring|Learning Strategies,4.0|4.0|3.88|3.88|3.75|3.38|3.25|3.25|3.25|2.88,Solar and Wind Energy Resource Assessment SWERA|Data visualization software|Microsoft Visual Basic|IMSI TurboCAD|Structured query language SQL|Geographic information system GIS systems|Debugging software|Microsoft Word|Optical Physics Technologies SUN_CHART|Oracle Hyperion|Simulation software|Regional Energy Deployment System ReEDS|PVsyst|Finite element method FEM software|Computer aided design and drafting CADD software,N|N|Y|N|Y|Y|Y|N|Y|N|N|N|N|N|N
17-3011.00,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.",Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Monitoring|Mathematics|Active Learning|Learning Strategies|Science,3.75|3.62|3.5|3.25|3.25|3.25|3.12|3.12|2.62|2.12,Sun Microsystems Cobalt|Autodesk Land Desktop|Autodesk AutoCAD Civil 3D|Autodesk Inventor|Scanning software|Geographic information system GIS systems|Graphic presentation software|AutoDesSys form Z|Adobe Illustrator|Autodesk Architectural Desktop|ARCOM Masterspec|Dassault Systemes SolidWorks|ESRI ArcGIS software|Intergraph Image Analyst|Microsoft Office software,N|Y|Y|Y|Y|Y|N|Y|N|N|N|N|N|N|Y
17-3012.00,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.",Active Listening|Writing|Critical Thinking|Reading Comprehension|Speaking|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,3.62|3.5|3.5|3.38|3.25|3.25|3.0|2.75|2.62|1.88,Bowen & Groves M1 ERP|Corel CorelDraw Graphics Suite|Zuken CADSTAR|IBM Lotus Notes|Very high speed integrated circuit VHSIC hardware description language VHDL simulation software|Cadence Virtuoso Layout Suite|MathWorks Simulink|Intergraph INtools|PTC Windchill|Tool command language Tcl|Geographic information system GIS systems|Microsoft Word|Verilog|Autodesk Navisworks|Dassault Systemes CATIA,N|Y|Y|N|Y|N|N|N|Y|N|N|N|Y|Y|N
17-3013.00,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.",Critical Thinking|Reading Comprehension|Active Listening|Mathematics|Active Learning|Speaking|Writing|Monitoring|Learning Strategies|Science,3.38|3.25|3.25|3.25|3.25|3.12|3.0|3.0|2.75|1.88,Document management system software|Adobe After Effects|Motion graphics software|Autodesk AutoCAD Civil 3D|Autodesk Inventor|Bentley Navigator|Scanning software|Microsoft Word|Three-dimensional scanning software|Autodesk Navisworks|Dassault Systemes CATIA|Computer aided design and drafting CADD software|Autodesk AutoCAD|Graphic presentation software|Rapid prototyping software,N|Y|N|Y|Y|N|N|N|Y|Y|N|N|N|N|N
17-3019.00,"Drafters, All Other",All drafters not listed separately.,,,,
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.",Critical Thinking|Reading Comprehension|Active Listening|Speaking|Writing|Science|Monitoring|Mathematics|Active Learning|Learning Strategies,3.88|3.75|3.62|3.62|3.12|3.12|3.12|3.0|3.0|2.88,Red Hat Enterprise Linux|Oracle Database|Job control language JCL|Structured query language SQL|Debugging software|Microsoft Word|Selenium|Dassault Systemes CATIA|Atlassian JIRA|JUnit|Autodesk AutoCAD|Microsoft SQL Server|Inventory software|SAP software|Dassault Systemes SolidWorks,Y|N|Y|Y|N|Y|N|N|N|Y|N|N|Y|N|N
17-3022.00,Civil Engineering Technologists and Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.",Critical Thinking|Reading Comprehension|Active Listening|Mathematics|Speaking|Writing|Monitoring|Active Learning|Science|Learning Strategies,3.88|3.75|3.75|3.62|3.38|3.25|3.25|2.88|2.75|2.25,Autodesk Land Desktop|Microsoft Visual Basic|Autodesk AutoCAD Civil 3D|Geographic information system GIS systems|Microsoft Word|Web browser software|Graphics software|Autodesk AutoCAD|SAP software|Coordinate geometry COGO software|Email software|Autodesk Revit|Microsoft Excel|ESRI ArcGIS software|Microsoft Office software,Y|Y|N|Y|Y|N|N|N|N|N|Y|N|N|N|N
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.",Reading Comprehension|Critical Thinking|Active Listening|Speaking|Writing|Monitoring|Active Learning|Mathematics|Learning Strategies|Science,3.88|3.75|3.38|3.38|3.25|3.25|3.12|2.88|2.62|2.12,Circuit simulation software|Cadence OrCAD PSpice|pMatlab|The MathWorks MATLAB|Cadence PSpice|Dassault Systemes SolidWorks|Mentor Graphics PADS|Programmable logic controller PLC software|Emulators|Magellan Firmware|Tanner Research L-Edit|CST Microwave Studio|Adobe ActionScript|Altera Quartus II|ngspice,Y|N|N|N|N|N|N|N|N|N|Y|Y|N|Y|N
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.",Monitoring|Critical Thinking|Reading Comprehension|Active Listening|Writing|Speaking|Active Learning|Mathematics|Learning Strategies|Science,3.75|3.62|3.25|3.12|3.12|3.12|3.12|2.88|2.88|2.75,Autodesk Inventor|Circuit simulation software|MathWorks Simulink|Human machine interface HMI software|CloudCompare|Motion control software|Microsoft Word|Manufacturing resource planning MRP software|Autodesk AutoCAD|The MathWorks MATLAB|Laser imaging detection and ranging LIDAR system|Rapid prototyping software|McNeel Rhinoceros 3D|Litchi|MindJet MindManager,N|Y|N|N|Y|N|N|N|Y|Y|N|N|Y|N|N
17-3024.01,Robotics Technicians,"Build, install, test, or maintain robotic equipment or related automated production systems.",Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,3.88|3.88|3.75|3.25|3.25|3.12|3.12|3.0|3.0|2.75,MathWorks Simulink|ABB RobotStudio|FANUC Robotics Torchmate 3|FANUC Robotics Diagnostic Resource Center DRC|Ladder Logic|Siemens SIMATIC WinCC|Human machine interface HMI software|Structured query language SQL|FANUC Robotics SpotTool+|Microsoft Word|Simulation software|Dassault Systemes CATIA|Variable frequency drive VFD software|AVEVA InTouch HMI|C#,N|N|N|Y|N|Y|Y|Y|Y|N|N|Y|N|N|N
